50	225	E	-1910564.4339701552	200
transitionprobs	8	43	0.0
transitionprobs	8	44	0.0
transitionprobs	8	45	0.0
transitionprobs	8	46	0.001134934721127553
transitionprobs	8	47	3.049072281203863E-4
transitionprobs	8	48	0.0
transitionprobs	8	49	0.0
transitionprobs	8	50	8.290684576445376E-4
transitionprobs	9	1	0.006966876104651882
transitionprobs	9	2	0.0
transitionprobs	9	3	0.013819018121698588
transitionprobs	9	4	0.050007105793043065
transitionprobs	9	5	0.043830147095318676
transitionprobs	9	6	0.07520926464883078
transitionprobs	9	7	0.04375865164773282
transitionprobs	9	8	1.2332011409344675E-4
transitionprobs	9	9	0.07790720806044361
transitionprobs	9	10	0.12488111015419073
transitionprobs	9	11	6.173327095509986E-6
transitionprobs	9	12	0.013752899376416857
transitionprobs	9	13	5.983846076024219E-4
transitionprobs	9	14	0.0
transitionprobs	9	15	0.0
transitionprobs	9	16	0.0
transitionprobs	9	17	0.0
transitionprobs	9	18	0.0
transitionprobs	9	19	0.0
transitionprobs	9	20	0.0
transitionprobs	9	21	8.505085292677522E-4
transitionprobs	9	22	0.0
transitionprobs	9	23	0.0
transitionprobs	9	24	1.6469500428740958E-7
transitionprobs	9	25	1.3353160841980196E-6
transitionprobs	9	26	0.057838779706996454
transitionprobs	9	27	0.3887663861505783
transitionprobs	9	28	0.0
transitionprobs	9	29	0.0
transitionprobs	9	30	0.0
transitionprobs	9	31	0.0070041725987078475
transitionprobs	9	32	0.0
transitionprobs	9	33	0.0
transitionprobs	9	34	0.03915463375957234
transitionprobs	9	35	0.016814874104450532
transitionprobs	9	36	0.006105043096859564
transitionprobs	9	37	0.0020511959272653175
transitionprobs	9	38	0.0
transitionprobs	9	39	0.0
transitionprobs	9	40	0.02225200343279787
transitionprobs	9	41	0.0
transitionprobs	9	42	0.0
transitionprobs	9	43	0.0
transitionprobs	9	44	0.0
transitionprobs	9	45	0.0
transitionprobs	9	46	0.0
transitionprobs	9	47	0.006717803039993409
transitionprobs	9	48	0.0
transitionprobs	9	49	0.0011262200033310128
transitionprobs	9	50	4.5672058797256243E-4
transitionprobs	10	1	0.00329040770058568
transitionprobs	10	2	5.915384066570904E-4
transitionprobs	10	3	0.009896950202948377
transitionprobs	10	4	0.011700433072722572
transitionprobs	10	5	0.018809428687151984
transitionprobs	10	6	0.05193685412343854
transitionprobs	10	7	0.02618982015092611
transitionprobs	10	8	0.009145416313978933
transitionprobs	10	9	0.06280824451290731
transitionprobs	10	10	0.11922714718971214
transitionprobs	10	11	0.031704031344787505
transitionprobs	10	12	0.004825788056707613
transitionprobs	10	13	0.0
transitionprobs	10	14	0.0
transitionprobs	10	15	0.0
transitionprobs	10	16	0.0
transitionprobs	10	17	0.0
transitionprobs	10	18	0.0
transitionprobs	10	19	0.0
transitionprobs	10	20	0.0
transitionprobs	10	21	0.0
transitionprobs	10	22	0.0
transitionprobs	10	23	0.0
transitionprobs	10	24	0.0
transitionprobs	10	25	0.007967446725703525
transitionprobs	10	26	0.042042263534619984
transitionprobs	10	27	0.5528287662242514
transitionprobs	10	28	0.0
transitionprobs	10	29	0.0
transitionprobs	10	30	0.0
transitionprobs	10	31	3.596587141075321E-5
transitionprobs	10	32	0.002019194491863933
transitionprobs	10	33	0.0
transitionprobs	10	34	0.0
transitionprobs	10	35	0.009613409547332544
transitionprobs	10	36	0.0
transitionprobs	10	37	0.007584720301971056
transitionprobs	10	38	0.0
transitionprobs	10	39	0.0
transitionprobs	10	40	0.02652735600164289
transitionprobs	10	41	0.0
transitionprobs	10	42	0.0
transitionprobs	10	43	0.0
transitionprobs	10	44	0.0
transitionprobs	10	45	0.0
transitionprobs	10	46	0.0
transitionprobs	10	47	0.001254817538680207
transitionprobs	10	48	0.0
transitionprobs	10	49	0.0
transitionprobs	10	50	0.0
transitionprobs	11	1	0.0
transitionprobs	11	2	0.0
transitionprobs	11	3	0.0
transitionprobs	11	4	0.0038714571106819224
transitionprobs	11	5	0.005312852588630627
transitionprobs	11	6	0.004684421339083016
transitionprobs	11	7	0.023201665856630232
transitionprobs	11	8	0.032299352660658476
transitionprobs	11	9	2.072652401855687E-4
transitionprobs	11	10	2.6339511633494614E-8
transitionprobs	11	11	0.06467102616930992
transitionprobs	11	12	0.0013878831771112763
transitionprobs	11	13	0.0
transitionprobs	11	14	0.0
transitionprobs	11	15	0.0
transitionprobs	11	16	0.0
transitionprobs	11	17	0.0
transitionprobs	11	18	0.0
transitionprobs	11	19	0.0
transitionprobs	11	20	0.0
transitionprobs	11	21	1.7243540397280283E-4
transitionprobs	11	22	0.0
transitionprobs	11	23	0.0
transitionprobs	11	24	0.0
transitionprobs	11	25	5.618260000925477E-4
transitionprobs	11	26	0.7988653906450682
transitionprobs	11	27	0.050634172190838184
transitionprobs	11	28	0.0013264965985390212
transitionprobs	11	29	0.0
transitionprobs	11	30	0.0
transitionprobs	11	31	0.0
transitionprobs	11	32	0.0
transitionprobs	11	33	0.0
transitionprobs	11	34	0.005585873917816618
transitionprobs	11	35	0.0
transitionprobs	11	36	0.0
transitionprobs	11	37	4.463858471978543E-4
transitionprobs	11	38	0.0
transitionprobs	11	39	0.0
transitionprobs	11	40	3.7551441470195515E-4
transitionprobs	11	41	0.0
transitionprobs	11	42	0.0
transitionprobs	11	43	0.0
transitionprobs	11	44	0.0
transitionprobs	11	45	0.0
transitionprobs	11	46	0.0
transitionprobs	11	47	9.171312322500088E-4
transitionprobs	11	48	0.0
transitionprobs	11	49	6.053487711171784E-4
transitionprobs	11	50	0.004873474496602882
transitionprobs	12	1	0.06507336268884321
transitionprobs	12	2	0.041867365603380245
transitionprobs	12	3	0.01328823718208896
transitionprobs	12	4	0.044759670999276344
transitionprobs	12	5	0.020431254352134526
transitionprobs	12	6	0.041444679928031664
transitionprobs	12	7	0.004781768197183998
transitionprobs	12	8	0.0
transitionprobs	12	9	0.05105089250082492
transitionprobs	12	10	0.05270844506290719
transitionprobs	12	11	0.0
transitionprobs	12	12	0.08083337899847648
transitionprobs	12	13	0.0
transitionprobs	12	14	0.005547055463428438
transitionprobs	12	15	0.0
transitionprobs	12	16	0.0
transitionprobs	12	17	0.0
transitionprobs	12	18	0.007879696230704657
transitionprobs	12	19	0.0
transitionprobs	12	20	0.03376638738551333
transitionprobs	12	21	0.06966621789315768
transitionprobs	12	22	0.015278902761016448
transitionprobs	12	23	0.026621241035502244
transitionprobs	12	24	0.0048730792186456795
transitionprobs	12	25	0.012592312298745882
transitionprobs	12	26	0.008177298378582075
transitionprobs	12	27	0.06828695318638738
transitionprobs	12	28	0.0
transitionprobs	12	29	0.0
transitionprobs	12	30	0.013434596997252744
transitionprobs	12	31	0.020803859476983703
transitionprobs	12	32	0.0
transitionprobs	12	33	0.02089311735944089
transitionprobs	12	34	0.022427162065906812
transitionprobs	12	35	0.017023459280246574
transitionprobs	12	36	0.07559824828174293
transitionprobs	12	37	0.0556988585502207
transitionprobs	12	38	0.015376712624369923
transitionprobs	12	39	0.0
transitionprobs	12	40	0.06603881242469244
transitionprobs	12	41	0.0
transitionprobs	12	42	0.0
transitionprobs	12	43	0.0
transitionprobs	12	44	0.0
transitionprobs	12	45	0.0
transitionprobs	12	46	0.0
transitionprobs	12	47	0.023776973574311907
transitionprobs	12	48	0.0
transitionprobs	12	49	0.0
transitionprobs	12	50	0.0
transitionprobs	13	1	0.010866989434674226
transitionprobs	13	2	0.0701244179882718
transitionprobs	13	3	0.02237068546581723
transitionprobs	13	4	0.012561516040378399
transitionprobs	13	5	0.002014170648954233
transitionprobs	13	6	0.0
transitionprobs	13	7	0.0
transitionprobs	13	8	0.0
transitionprobs	13	9	0.0030902660169314787
transitionprobs	13	10	0.0
transitionprobs	13	11	0.0
transitionprobs	13	12	0.0
transitionprobs	13	13	0.25708410054843556
transitionprobs	13	14	0.06994544377415378
transitionprobs	13	15	0.04998344561035788
transitionprobs	13	16	0.059980027766502436
transitionprobs	13	17	0.008400511417272319
transitionprobs	13	18	0.011901775885090221
transitionprobs	13	19	0.05342768330336913
transitionprobs	13	20	0.034455938350613564
transitionprobs	13	21	0.028657022075976285
transitionprobs	13	22	0.002377996668638594
transitionprobs	13	23	0.0
transitionprobs	13	24	0.0
transitionprobs	13	25	0.0
transitionprobs	13	26	0.0
transitionprobs	13	27	0.0
transitionprobs	13	28	0.0
transitionprobs	13	29	0.0070406332871225516
transitionprobs	13	30	0.048679621446433854
transitionprobs	13	31	0.00733077731465317
transitionprobs	13	32	0.0
transitionprobs	13	33	0.0
transitionprobs	13	34	0.0
transitionprobs	13	35	0.0014949475582645678
transitionprobs	13	36	0.0
transitionprobs	13	37	0.0
transitionprobs	13	38	0.021757115079132916
transitionprobs	13	39	0.017700908249858184
transitionprobs	13	40	0.008459884639417091
transitionprobs	13	41	0.059519498173202345
transitionprobs	13	42	0.0
transitionprobs	13	43	0.0
transitionprobs	13	44	0.03968438305124803
transitionprobs	13	45	0.0
transitionprobs	13	46	0.010491016163532017
transitionprobs	13	47	0.010149897341289989
transitionprobs	13	48	0.05611170919865356
transitionprobs	13	49	0.014337617501754553
